director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
Alfonso Cuarón,Charlie Hunnam,Danny Huston,English,USA,Drama Sci-Fi Thriller,children of men,Alfonso Cuarón Charlie Hunnam Danny Huston Drama Sci-Fi Thriller children of men
Bryan Singer,Hugh Jackman,Tyler Mane,English,USA,Action Adventure Sci-Fi,x-men,Bryan Singer Hugh Jackman Tyler Mane Action Adventure Sci-Fi x-men
Timur Bekmambetov,Angelina Jolie Pitt,Morgan Freeman,English,USA,Action Crime Fantasy Thriller,wanted,Timur Bekmambetov Angelina Jolie Pitt Morgan Freeman Action Crime Fantasy Thriller wanted
Michael Bay,Nicolas Cage,Michael Biehn,English,USA,Action Adventure Thriller,the rock,Michael Bay Nicolas Cage Michael Biehn Action Adventure Thriller the rock
Carlos Saldanha,Denis Leary,Ray Romano,English,USA,Action Adventure Animation Comedy Family Fantasy,ice age: the meltdown,Carlos Saldanha Denis Leary Ray Romano Action Adventure Animation Comedy Family Fantasy ice age: the meltdown
Peter Segal,Adam Sandler,Peter Dante,English,USA,Comedy Romance,50 first dates,Peter Segal Adam Sandler Peter Dante Comedy Romance 50 first dates
Adam Shankman,Jerry Stiller,Elijah Kelley,English,USA,Comedy Drama Family Music Musical Romance,hairspray,Adam Shankman Jerry Stiller Elijah Kelley Comedy Drama Family Music Musical Romance hairspray
Renny Harlin,James D'Arcy,Alan Ford,English,USA,Horror Mystery Thriller,exorcist: the beginning,Renny Harlin James D'Arcy Alan Ford Horror Mystery Thriller exorcist: the beginning
David Kellogg,Matthew Broderick,Rene Auberjonois,English,USA,Action Adventure Comedy Family Sci-Fi,inspector gadget,David Kellogg Matthew Broderick Rene Auberjonois Action Adventure Comedy Family Sci-Fi inspector gadget
Louis Leterrier,Morgan Freeman,Common,English,USA,Crime Mystery Thriller,now you see me,Louis Leterrier Morgan Freeman Common Crime Mystery Thriller now you see me
Dennis Dugan,Steve Buscemi,Adam Sandler,English,USA,Comedy,grown ups,Dennis Dugan Steve Buscemi Adam Sandler Comedy grown ups
Steven Spielberg,Tom Hanks,Chi McBride,English,USA,Comedy Drama,the terminal,Steven Spielberg Tom Hanks Chi McBride Comedy Drama the terminal
unknown,Harold Perrineau,Matt Ryan,English,USA,Drama Fantasy Horror Thriller,constantine            ,unknown Harold Perrineau Matt Ryan Drama Fantasy Horror Thriller constantine            
Thor Freudenthal,Don Cheadle,Kevin Dillon,English,USA,Comedy Family,hotel for dogs,Thor Freudenthal Don Cheadle Kevin Dillon Comedy Family hotel for dogs
